date;value;year;month;day;week;startDate;endDate;weekOrder
2017-01-01 00:00:00;2.51;2017;1;1;0;-;-;0
2017-01-02 00:00:00;4.67;2017;1;2;1;2017 1 2;2017 1 8;1
2017-01-03 00:00:00;1.94;2017;1;3;1;-;-;1
2017-01-04 00:00:00;6.53;2017;1;4;1;-;-;1
2017-01-05 00:00:00;3.41;2017;1;5;1;-;-;1
2017-01-06 00:00:00;1.19;2017;1;6;1;-;-;1
2017-01-07 00:00:00;1.31;2017;1;7;1;-;-;1
2017-01-08 00:00:00;2.65;2017;1;8;1;-;-;1
2017-01-09 00:00:00;6.22;2017;1;9;2;2017 1 9;2017 1 15;2
2017-01-10 00:00:00;0.95;2017;1;10;2;-;-;2
2017-01-11 00:00:00;0.88;2017;1;11;2;-;-;2
2017-01-12 00:00:00;0.29;2017;1;12;2;-;-;2
2017-01-13 00:00:00;0.32;2017;1;13;2;-;-;2
2017-01-14 00:00:00;0.29;2017;1;14;2;-;-;2
2017-01-15 00:00:00;0.26;2017;1;15;2;-;-;2
2017-01-16 00:00:00;0.28;2017;1;16;3;2017 1 16;2017 1 22;3
2017-01-17 00:00:00;0.56;2017;1;17;3;-;-;3
2017-01-18 00:00:00;0.47;2017;1;18;3;-;-;3
2017-01-19 00:00:00;0.54;2017;1;19;3;-;-;3
2017-01-20 00:00:00;1.98;2017;1;20;3;-;-;3
2017-01-21 00:00:00;2.09;2017;1;21;3;-;-;3
2017-01-22 00:00:00;0.33;2017;1;22;3;-;-;3
2017-01-23 00:00:00;1.39;2017;1;23;4;2017 1 23;2017 1 29;4
2017-01-24 00:00:00;2.69;2017;1;24;4;-;-;4
2017-01-25 00:00:00;3.2;2017;1;25;4;-;-;4
2017-01-26 00:00:00;2.54;2017;1;26;4;-;-;4
2017-01-27 00:00:00;2.06;2017;1;27;4;-;-;4
2017-01-28 00:00:00;1.42;2017;1;28;4;-;-;4
2017-01-29 00:00:00;2.08;2017;1;29;4;-;-;4
2017-01-30 00:00:00;2.31;2017;1;30;5;2017 1 30;2017 2 5;1
2017-01-31 00:00:00;1.0;2017;1;31;5;-;-;1
2017-02-01 00:00:00;2.24;2017;2;1;5;-;-;1
2017-02-02 00:00:00;0.35;2017;2;2;5;-;-;1
2017-02-03 00:00:00;0.83;2017;2;3;5;-;-;1
2017-02-04 00:00:00;0.76;2017;2;4;5;-;-;1
2017-02-05 00:00:00;0.34;2017;2;5;5;-;-;1
2017-02-06 00:00:00;2.64;2017;2;6;6;2017 2 6;2017 2 12;2
2017-02-07 00:00:00;0.68;2017;2;7;6;-;-;2
2017-02-08 00:00:00;0.63;2017;2;8;6;-;-;2
2017-02-09 00:00:00;1.57;2017;2;9;6;-;-;2
2017-02-10 00:00:00;0.91;2017;2;10;6;-;-;2
2017-02-11 00:00:00;1.06;2017;2;11;6;-;-;2
2017-02-12 00:00:00;1.1;2017;2;12;6;-;-;2
2017-02-13 00:00:00;1.61;2017;2;13;7;2017 2 13;2017 2 19;3
2017-02-14 00:00:00;2.68;2017;2;14;7;-;-;3
2017-02-15 00:00:00;3.91;2017;2;15;7;-;-;3
2017-02-16 00:00:00;3.08;2017;2;16;7;-;-;3
2017-02-17 00:00:00;2.65;2017;2;17;7;-;-;3
2017-02-18 00:00:00;1.87;2017;2;18;7;-;-;3
2017-02-19 00:00:00;0.67;2017;2;19;7;-;-;3
2017-02-20 00:00:00;1.05;2017;2;20;8;2017 2 20;2017 2 26;4
2017-02-21 00:00:00;1.1;2017;2;21;8;-;-;4
2017-02-22 00:00:00;0.69;2017;2;22;8;-;-;4
