date;value
2017-01-01;8.43
2017-01-02;15.44
2017-01-03;10.59
2017-01-04;21.47
2017-01-05;15.59
2017-01-06;6.01
2017-01-07;7.66
2017-01-08;9.4
2017-01-09;19.67
2017-01-10;5.25
2017-01-11;4.37
2017-01-12;1.83
2017-01-13;1.54
2017-01-14;1.23
2017-01-15;1.77
2017-01-16;1.61
2017-01-17;1.36
2017-01-18;3.03
2017-01-19;3.17
2017-01-20;4.77
2017-01-21;4.71
2017-01-22;2.45
2017-01-23;4.63
2017-01-24;6.36
2017-01-25;7.46
2017-01-26;5.99
2017-01-27;5.73
2017-01-28;4.08
2017-01-29;6.78
2017-01-30;8.16
2017-01-31;3.34
2017-02-01;7.05
2017-02-02;1.55
2017-02-03;2.8
2017-02-04;2.14
2017-02-05;1.14
2017-02-06;7.54
2017-02-07;2.68
2017-02-08;2.6
2017-02-09;6.02
2017-02-10;6.08
2017-02-11;2.44
2017-02-12;3.96
2017-02-13;6.57
2017-02-14;13.78
2017-02-15;12.2
2017-02-16;6.36
2017-02-17;5.74
2017-02-18;4.82
2017-02-19;2.77
2017-02-20;4.3
2017-02-21;2.64
2017-02-22;2.37
2017-02-23;3.04
2017-02-24;1.65
2017-02-25;2.18
2017-02-26;1.1
2017-02-27;2.15
2017-02-28;1.85
2017-03-01;2.89
2017-03-02;3.05
2017-03-03;3.99
2017-03-04;0.91
2017-03-05;2.37
2017-03-06;0.87
2017-03-07;2.81
2017-03-08;3.29
2017-03-09;4.81
2017-03-10;6.75
2017-03-11;3.56
2017-03-12;0.58
2017-03-13;1.18
2017-03-14;1.15
2017-03-15;2.33
2017-03-16;2.67
2017-03-17;1.13
2017-03-18;0.74
2017-03-19;0.77
2017-03-20;2.18
2017-03-21;1.71
2017-03-22;1.21
2017-03-23;1.08
2017-03-24;1.49
2017-03-25;2.36
2017-03-26;1.8
2017-03-27;1.91
2017-03-28;5.16
2017-03-29;5.7
2017-03-30;6.3
2017-03-31;2.88
2017-04-01;0.45
2017-04-02;0.19
2017-04-03;2.45
2017-04-04;1.61
2017-04-05;0.47
2017-04-06;1.3
2017-04-07;1.81
2017-04-08;2.44
2017-04-09;1.4
2017-04-10;1.03
2017-04-11;0.72
2017-04-12;0.77
2017-04-13;0.57
2017-04-14;0.51
2017-04-15;0.3
2017-04-16;1.02
2017-04-17;0.4
2017-04-18;0.29
2017-04-19;0.51
2017-04-20;0.67
2017-04-21;2.22
2017-04-22;2.36
2017-04-23;0.76
2017-04-24;2.48
2017-04-25;0.63
2017-04-26;0.38
2017-04-27;0.5
2017-04-28;0.81
2017-04-29;0.86
2017-04-30;0.6
2017-05-01;1.3
2017-05-02;1.3
2017-05-03;0.78
2017-05-04;1.68
2017-05-05;2.57
2017-05-06;1.19
2017-05-07;0.65
2017-05-08;1.34
2017-05-09;1.32
2017-05-10;1.96
2017-05-11;2.54
2017-05-12;1.62
2017-05-13;0.92
2017-05-14;0.68
2017-05-15;1.55
2017-05-16;1.45
2017-05-17;1.43
2017-05-18;0.94
2017-05-19;1.67
2017-05-20;0.72
2017-05-21;1.18
2017-05-22;1.18
2017-05-23;1.64
2017-05-24;1.92
2017-05-25;3.92
2017-05-26;2.96
2017-05-27;1.34
2017-05-28;0.6
2017-05-29;1.0
2017-05-30;1.94
2017-05-31;1.4
2017-06-01;3.6
2017-06-02;0.76
2017-06-03;0.6
2017-06-04;0.76
2017-06-05;1.14
2017-06-06;0.28
2017-06-07;1.05
2017-06-08;0.98
2017-06-09;0.98
2017-06-10;0.9
2017-06-11;0.4
2017-06-12;0.61
2017-06-13;0.82
2017-06-14;1.02
2017-06-15;0.65
2017-06-16;0.33
2017-06-17;0.36
2017-06-18;0.86
2017-06-19;2.61
2017-06-20;2.45
2017-06-21;1.78
2017-06-22;0.7
2017-06-23;0.76
2017-06-24;0.51
2017-06-25;0.51
2017-06-26;0.77
2017-06-27;1.25
2017-06-28;0.87
2017-06-29;0.69
2017-06-30;0.57
2017-07-01;0.45
2017-07-02;0.4
2017-07-03;0.76
2017-07-04;1.35
2017-07-05;0.79
2017-07-06;1.13
2017-07-07;0.9
2017-07-08;0.31
2017-07-09;0.45
2017-07-10;0.42
2017-07-11;0.57
2017-07-12;0.99
2017-07-13;0.74
2017-07-14;0.31
2017-07-15;0.35
2017-07-16;0.28
2017-07-17;0.92
2017-07-18;0.91
2017-07-19;0.97
2017-07-20;0.57
2017-07-21;0.58
2017-07-22;0.52
2017-07-23;0.32
2017-07-24;0.31
2017-07-25;0.48
2017-07-26;0.81
2017-07-27;1.06
2017-07-28;0.76
2017-07-29;0.62
2017-07-30;0.35
2017-07-31;0.54
2017-08-01;0.5
2017-08-02;0.73
2017-08-03;0.88
2017-08-04;1.1
2017-08-05;0.27
2017-08-06;0.25
2017-08-07;0.64
2017-08-08;0.42
2017-08-09;0.58
2017-08-10;1.09
2017-08-11;0.68
2017-08-12;0.61
2017-08-13;0.47
2017-08-14;0.47
2017-08-15;0.29
2017-08-16;0.85
2017-08-17;0.94
2017-08-18;0.72
2017-08-19;0.27
2017-08-20;0.62
2017-08-21;2.24
2017-08-22;1.44
2017-08-23;1.0
2017-08-24;0.93
2017-08-25;1.14
2017-08-26;1.15
2017-08-27;1.48
2017-08-28;1.11
2017-08-29;0.64
2017-08-30;0.67
2017-08-31;1.78
2017-09-01;0.86
2017-09-02;0.84
2017-09-03;1.02
2017-09-04;0.94
2017-09-05;0.92
2017-09-06;0.6
