date,MXIL
2017-01-01,2.51
2017-01-02,4.67
2017-01-03,1.94
2017-01-04,6.53
2017-01-05,3.41
2017-01-06,1.19
2017-01-07,1.31
2017-01-08,2.65
2017-01-09,6.22
2017-01-10,0.95
2017-01-11,0.88
2017-01-12,0.29
2017-01-13,0.32
2017-01-14,0.29
2017-01-15,0.26
2017-01-16,0.28
2017-01-17,0.56
2017-01-18,0.47
2017-01-19,0.54
2017-01-20,1.98
2017-01-21,2.09
2017-01-22,0.33
2017-01-23,1.39
2017-01-24,2.69
2017-01-25,3.2
2017-01-26,2.54
2017-01-27,2.06
2017-01-28,1.42
2017-01-29,2.08
2017-01-30,2.31
2017-01-31,1.0
2017-02-01,2.24
2017-02-02,0.35
2017-02-03,0.83
2017-02-04,0.76
2017-02-05,0.34
2017-02-06,2.64
2017-02-07,0.68
2017-02-08,0.63
2017-02-09,1.57
2017-02-10,0.91
2017-02-11,1.06
2017-02-12,1.1
2017-02-13,1.61
2017-02-14,2.68
2017-02-15,3.91
2017-02-16,3.08
2017-02-17,2.65
2017-02-18,1.87
2017-02-19,0.67
2017-02-20,1.05
2017-02-21,1.1
2017-02-22,0.69
2017-02-23,0.95
2017-02-24,0.42
2017-02-25,0.86
2017-02-26,0.26
2017-02-27,0.55
2017-02-28,0.62
2017-03-01,1.53
2017-03-02,0.8
2017-03-03,0.92
2017-03-04,0.26
2017-03-05,0.76
2017-03-06,0.18
2017-03-07,1.15
2017-03-08,0.87
2017-03-09,1.86
2017-03-10,2.56
2017-03-11,1.01
2017-03-12,0.13
2017-03-13,0.32
2017-03-14,0.18
2017-03-15,0.38
2017-03-16,1.04
2017-03-17,0.31
2017-03-18,0.12
2017-03-19,0.21
2017-03-20,0.6
2017-03-21,0.28
2017-03-22,0.23
2017-03-23,0.23
2017-03-24,0.37
2017-03-25,0.66
2017-03-26,0.48
2017-03-27,0.38
2017-03-28,1.19
2017-03-29,1.38
2017-03-30,1.82
2017-03-31,0.55
2017-04-01,0.15
2017-04-02,0.12
2017-04-03,0.72
2017-04-04,0.43
2017-04-05,0.2
2017-04-06,0.31
2017-04-07,0.35
2017-04-08,0.51
2017-04-09,0.31
2017-04-10,0.25
2017-04-11,0.21
2017-04-12,0.25
2017-04-13,0.2
2017-04-14,0.45
2017-04-15,0.2
2017-04-16,0.24
2017-04-17,0.22
2017-04-18,0.2
2017-04-19,0.21
2017-04-20,0.25
2017-04-21,0.49
2017-04-22,0.42
2017-04-23,0.21
2017-04-24,0.42
2017-04-25,0.2
2017-04-26,0.2
2017-04-27,0.21
2017-04-28,0.27
2017-04-29,0.25
2017-04-30,0.23
2017-05-01,0.36
2017-05-02,0.36
2017-05-03,0.2
2017-05-04,0.28
2017-05-05,0.35
2017-05-06,0.26
2017-05-07,0.21
2017-05-08,0.25
2017-05-09,0.23
2017-05-10,0.38
2017-05-11,0.27
2017-05-12,0.26
2017-05-13,0.28
2017-05-14,0.23
2017-05-15,0.47
2017-05-16,0.41
2017-05-17,0.66
2017-05-18,0.27
2017-05-19,0.61
2017-05-20,0.26
2017-05-21,0.37
2017-05-22,0.37
2017-05-23,0.47
2017-05-24,0.38
2017-05-25,1.26
2017-05-26,0.84
2017-05-27,0.38
2017-05-28,0.21
2017-05-29,0.27
2017-05-30,0.36
2017-05-31,0.33
2017-06-01,1.5
2017-06-02,0.24
2017-06-03,0.22
2017-06-04,0.23
2017-06-05,0.33
2017-06-06,0.2
2017-06-07,0.34
2017-06-08,0.29
2017-06-09,0.3
2017-06-10,0.25
2017-06-11,0.2
2017-06-12,0.24
2017-06-13,0.27
2017-06-14,0.27
2017-06-15,0.22
2017-06-16,0.2
2017-06-17,0.2
2017-06-18,0.23
2017-06-19,0.46
2017-06-20,0.41
2017-06-21,0.45
2017-06-22,0.33
2017-06-23,0.28
2017-06-24,0.25
2017-06-25,0.25
2017-06-26,0.3
2017-06-27,0.31
2017-06-28,0.27
2017-06-29,0.26
2017-06-30,0.29
2017-07-01,0.26
2017-07-02,0.25
2017-07-03,0.25
2017-07-04,0.29
2017-07-05,0.28
2017-07-06,0.35
2017-07-07,0.33
2017-07-08,0.25
2017-07-09,0.25
2017-07-10,0.25
2017-07-11,0.25
2017-07-12,0.34
2017-07-13,0.3
2017-07-14,0.26
2017-07-15,0.25
2017-07-16,0.25
2017-07-17,0.26
2017-07-18,0.34
2017-07-19,0.31
2017-07-20,0.27
2017-07-21,0.29
2017-07-22,0.25
2017-07-23,0.25
2017-07-24,0.25
2017-07-25,0.25
2017-07-26,0.32
2017-07-27,0.35
2017-07-28,0.32
2017-07-29,0.25
2017-07-30,0.25
2017-07-31,0.26
2017-08-01,0.28
2017-08-02,0.37
2017-08-03,0.27
2017-08-04,0.28
2017-08-05,0.25
2017-08-06,0.25
2017-08-07,0.27
2017-08-08,0.26
2017-08-09,0.3
2017-08-10,0.5
2017-08-11,0.29
2017-08-12,0.48
2017-08-13,0.26
2017-08-14,0.25
2017-08-15,0.25
2017-08-16,0.31
2017-08-17,0.28
2017-08-18,0.25
2017-08-19,0.25
2017-08-20,0.25
2017-08-21,0.55
2017-08-22,0.56
2017-08-23,0.27
2017-08-24,0.27
2017-08-25,0.35
2017-08-26,0.31
2017-08-27,0.37
2017-08-28,0.39
2017-08-29,0.26
2017-08-30,0.27
2017-08-31,0.55
2017-09-01,0.35
2017-09-02,0.28
2017-09-03,0.32
2017-09-04,0.26
2017-09-05,0.33
2017-09-06,0.28
2017-09-07,0.28
2017-09-08,0.25
2017-09-09,0.26
2017-09-10,0.29
2017-09-11,0.27
2017-09-12,0.28
2017-09-13,0.37
2017-09-14,0.26
2017-09-15,0.29
2017-09-16,0.38
2017-09-17,0.26
2017-09-18,0.36
2017-09-19,0.28
2017-09-20,0.65
2017-09-21,0.42
2017-09-22,0.25
2017-09-23,0.37
2017-09-24,0.26
2017-09-25,0.27
2017-09-26,0.42
2017-09-27,0.74
2017-09-28,0.75
