date,NO,year,month,day,week,startDate,endDate,weekOrder
2017-01-01,93.0,2017,1,1,0,-,-,0
2017-01-02,112.0,2017,1,2,1,2017 1 2,2017 1 8,1
2017-01-03,101.0,2017,1,3,1,-,-,1
2017-01-04,169.0,2017,1,4,1,-,-,1
2017-01-05,104.0,2017,1,5,1,-,-,1
2017-01-06,57.0,2017,1,6,1,-,-,1
2017-01-07,90.0,2017,1,7,1,-,-,1
2017-01-08,94.0,2017,1,8,1,-,-,1
2017-01-09,170.0,2017,1,9,2,2017 1 9,2017 1 15,2
2017-01-10,29.0,2017,1,10,2,-,-,2
2017-01-11,37.0,2017,1,11,2,-,-,2
2017-01-12,22.0,2017,1,12,2,-,-,2
2017-01-13,12.0,2017,1,13,2,-,-,2
2017-01-14,9.0,2017,1,14,2,-,-,2
2017-01-15,8.0,2017,1,15,2,-,-,2
2017-01-16,17.0,2017,1,16,3,2017 1 16,2017 1 22,3
2017-01-17,32.0,2017,1,17,3,-,-,3
2017-01-18,112.0,2017,1,18,3,-,-,3
2017-01-19,72.0,2017,1,19,3,-,-,3
2017-01-20,143.0,2017,1,20,3,-,-,3
2017-01-21,107.0,2017,1,21,3,-,-,3
2017-01-22,82.0,2017,1,22,3,-,-,3
2017-01-23,83.0,2017,1,23,4,2017 1 23,2017 1 29,4
2017-01-24,58.0,2017,1,24,4,-,-,4
2017-01-25,67.0,2017,1,25,4,-,-,4
2017-01-26,59.0,2017,1,26,4,-,-,4
2017-01-27,50.0,2017,1,27,4,-,-,4
2017-01-28,30.0,2017,1,28,4,-,-,4
2017-01-29,36.0,2017,1,29,4,-,-,4
2017-01-30,73.0,2017,1,30,5,2017 1 30,2017 2 5,1
2017-01-31,23.0,2017,1,31,5,-,-,1
2017-02-01,55.0,2017,2,1,5,-,-,1
2017-02-02,10.0,2017,2,2,5,-,-,1
2017-02-03,18.0,2017,2,3,5,-,-,1
2017-02-04,16.0,2017,2,4,5,-,-,1
2017-02-05,7.0,2017,2,5,5,-,-,1
2017-02-06,76.0,2017,2,6,6,2017 2 6,2017 2 12,2
2017-02-07,23.0,2017,2,7,6,-,-,2
2017-02-08,24.0,2017,2,8,6,-,-,2
2017-02-09,44.0,2017,2,9,6,-,-,2
2017-02-10,21.0,2017,2,10,6,-,-,2
2017-02-11,16.0,2017,2,11,6,-,-,2
2017-02-12,23.0,2017,2,12,6,-,-,2
2017-02-13,62.0,2017,2,13,7,2017 2 13,2017 2 19,3
2017-02-14,68.0,2017,2,14,7,-,-,3
2017-02-15,64.0,2017,2,15,7,-,-,3
2017-02-16,63.0,2017,2,16,7,-,-,3
2017-02-17,72.0,2017,2,17,7,-,-,3
2017-02-18,37.0,2017,2,18,7,-,-,3
2017-02-19,22.0,2017,2,19,7,-,-,3
2017-02-20,45.0,2017,2,20,8,2017 2 20,2017 2 26,4
2017-02-21,25.0,2017,2,21,8,-,-,4
2017-02-22,11.0,2017,2,22,8,-,-,4
2017-02-23,24.0,2017,2,23,8,-,-,4
2017-02-24,14.0,2017,2,24,8,-,-,4
2017-02-25,23.0,2017,2,25,8,-,-,4
2017-02-26,9.0,2017,2,26,8,-,-,4
2017-02-27,20.0,2017,2,27,9,2017 2 27,2017 3 5,1
2017-02-28,17.0,2017,2,28,9,-,-,1
2017-03-01,31.0,2017,3,1,9,-,-,1
2017-03-02,24.0,2017,3,2,9,-,-,1
2017-03-03,26.0,2017,3,3,9,-,-,1
2017-03-04,12.0,2017,3,4,9,-,-,1
2017-03-05,15.0,2017,3,5,9,-,-,1
2017-03-06,5.0,2017,3,6,10,2017 3 6,2017 3 12,2
2017-03-07,28.0,2017,3,7,10,-,-,2
2017-03-08,26.0,2017,3,8,10,-,-,2
2017-03-09,44.0,2017,3,9,10,-,-,2
2017-03-10,71.0,2017,3,10,10,-,-,2
2017-03-11,21.0,2017,3,11,10,-,-,2
2017-03-12,4.0,2017,3,12,10,-,-,2
2017-03-13,12.0,2017,3,13,11,2017 3 13,2017 3 19,3
2017-03-14,12.0,2017,3,14,11,-,-,3
2017-03-15,20.0,2017,3,15,11,-,-,3
2017-03-16,24.0,2017,3,16,11,-,-,3
2017-03-17,6.0,2017,3,17,11,-,-,3
2017-03-18,3.0,2017,3,18,11,-,-,3
2017-03-19,3.0,2017,3,19,11,-,-,3
2017-03-20,9.0,2017,3,20,12,2017 3 20,2017 3 26,4
2017-03-21,9.0,2017,3,21,12,-,-,4
2017-03-22,10.0,2017,3,22,12,-,-,4
2017-03-23,13.0,2017,3,23,12,-,-,4
2017-03-24,21.0,2017,3,24,12,-,-,4
2017-03-25,13.0,2017,3,25,12,-,-,4
2017-03-26,7.0,2017,3,26,12,-,-,4
2017-03-27,9.0,2017,3,27,13,2017 3 27,2017 4 2,1
2017-03-28,29.0,2017,3,28,13,-,-,1
2017-03-29,45.0,2017,3,29,13,-,-,1
2017-03-30,48.0,2017,3,30,13,-,-,1
2017-03-31,23.0,2017,3,31,13,-,-,1
2017-04-01,4.0,2017,4,1,13,-,-,1
2017-04-02,2.0,2017,4,2,13,-,-,1
2017-04-03,21.0,2017,4,3,14,2017 4 3,2017 4 9,2
2017-04-04,13.0,2017,4,4,14,-,-,2
2017-04-05,5.0,2017,4,5,14,-,-,2
2017-04-06,19.0,2017,4,6,14,-,-,2
2017-04-07,14.0,2017,4,7,14,-,-,2
2017-04-08,17.0,2017,4,8,14,-,-,2
2017-04-09,8.0,2017,4,9,14,-,-,2
2017-04-10,5.0,2017,4,10,15,2017 4 10,2017 4 16,3
2017-04-11,3.0,2017,4,11,15,-,-,3
2017-04-12,4.0,2017,4,12,15,-,-,3
2017-04-13,3.0,2017,4,13,15,-,-,3
2017-04-14,2.0,2017,4,14,15,-,-,3
2017-04-15,3.0,2017,4,15,15,-,-,3
2017-04-16,7.0,2017,4,16,15,-,-,3
2017-04-17,5.0,2017,4,17,16,2017 4 17,2017 4 23,4
2017-04-18,3.0,2017,4,18,16,-,-,4
2017-04-19,4.0,2017,4,19,16,-,-,4
2017-04-20,8.0,2017,4,20,16,-,-,4
2017-04-21,17.0,2017,4,21,16,-,-,4
2017-04-22,10.0,2017,4,22,16,-,-,4
2017-04-23,3.0,2017,4,23,16,-,-,4
2017-04-24,14.0,2017,4,24,17,2017 4 24,2017 4 30,1
2017-04-25,5.0,2017,4,25,17,-,-,1
2017-04-26,6.0,2017,4,26,17,-,-,1
2017-04-27,8.0,2017,4,27,17,-,-,1
2017-04-28,14.0,2017,4,28,17,-,-,1
2017-04-29,8.0,2017,4,29,17,-,-,1
2017-04-30,3.0,2017,4,30,17,-,-,1
2017-05-01,13.0,2017,5,1,18,2017 5 1,2017 5 7,2
2017-05-02,13.0,2017,5,2,18,-,-,2
2017-05-03,6.0,2017,5,3,18,-,-,2
2017-05-04,13.0,2017,5,4,18,-,-,2
2017-05-05,19.0,2017,5,5,18,-,-,2
2017-05-06,7.0,2017,5,6,18,-,-,2
2017-05-07,4.0,2017,5,7,18,-,-,2
2017-05-08,13.0,2017,5,8,19,2017 5 8,2017 5 14,3
2017-05-09,8.0,2017,5,9,19,-,-,3
2017-05-10,12.0,2017,5,10,19,-,-,3
2017-05-11,18.0,2017,5,11,19,-,-,3
2017-05-12,8.0,2017,5,12,19,-,-,3
2017-05-13,7.0,2017,5,13,19,-,-,3
2017-05-14,6.0,2017,5,14,19,-,-,3
2017-05-15,19.0,2017,5,15,20,2017 5 15,2017 5 21,4
2017-05-16,15.0,2017,5,16,20,-,-,4
2017-05-17,9.0,2017,5,17,20,-,-,4
2017-05-18,10.0,2017,5,18,20,-,-,4
2017-05-19,13.0,2017,5,19,20,-,-,4
2017-05-20,6.0,2017,5,20,20,-,-,4
2017-05-21,11.0,2017,5,21,20,-,-,4
2017-05-22,3.0,2017,5,22,21,2017 5 22,2017 5 28,1
2017-05-23,4.0,2017,5,23,21,-,-,1
2017-05-24,6.0,2017,5,24,21,-,-,1
2017-05-25,22.0,2017,5,25,21,-,-,1
2017-05-26,23.0,2017,5,26,21,-,-,1
2017-05-27,9.0,2017,5,27,21,-,-,1
2017-05-28,2.0,2017,5,28,21,-,-,1
2017-05-29,8.0,2017,5,29,22,2017 5 29,2017 6 4,2
2017-05-30,5.0,2017,5,30,22,-,-,2
2017-05-31,7.0,2017,5,31,22,-,-,2
2017-06-01,11.0,2017,6,1,22,-,-,2
2017-06-02,4.0,2017,6,2,22,-,-,2
2017-06-03,4.0,2017,6,3,22,-,-,2
2017-06-04,5.0,2017,6,4,22,-,-,2
2017-06-05,12.0,2017,6,5,23,2017 6 5,2017 6 11,3
2017-06-06,3.0,2017,6,6,23,-,-,3
2017-06-07,9.0,2017,6,7,23,-,-,3
2017-06-08,16.0,2017,6,8,23,-,-,3
2017-06-09,17.0,2017,6,9,23,-,-,3
2017-06-10,24.0,2017,6,10,23,-,-,3
2017-06-11,19.0,2017,6,11,23,-,-,3
2017-06-12,20.0,2017,6,12,24,2017 6 12,2017 6 18,4
2017-06-13,20.0,2017,6,13,24,-,-,4
2017-06-14,20.0,2017,6,14,24,-,-,4
2017-06-15,21.0,2017,6,15,24,-,-,4
2017-06-16,16.0,2017,6,16,24,-,-,4
2017-06-17,16.0,2017,6,17,24,-,-,4
2017-06-18,31.0,2017,6,18,24,-,-,4
2017-06-19,50.0,2017,6,19,25,2017 6 19,2017 6 25,1
2017-06-20,47.0,2017,6,20,25,-,-,1
2017-06-21,29.0,2017,6,21,25,-,-,1
2017-06-22,3.0,2017,6,22,25,-,-,1
2017-06-23,3.0,2017,6,23,25,-,-,1
2017-06-24,3.0,2017,6,24,25,-,-,1
2017-06-25,3.0,2017,6,25,25,-,-,1
2017-06-26,8.0,2017,6,26,26,2017 6 26,2017 7 2,2
2017-06-27,6.0,2017,6,27,26,-,-,2
2017-06-28,11.0,2017,6,28,26,-,-,2
2017-06-29,7.0,2017,6,29,26,-,-,2
2017-06-30,7.0,2017,6,30,26,-,-,2
2017-07-01,4.0,2017,7,1,26,-,-,2
2017-07-02,4.0,2017,7,2,26,-,-,2
2017-07-03,4.0,2017,7,3,27,2017 7 3,2017 7 9,3
2017-07-04,9.0,2017,7,4,27,-,-,3
2017-07-05,3.0,2017,7,5,27,-,-,3
2017-07-06,5.0,2017,7,6,27,-,-,3
2017-07-07,6.0,2017,7,7,27,-,-,3
2017-07-08,2.0,2017,7,8,27,-,-,3
2017-07-09,2.0,2017,7,9,27,-,-,3
2017-07-10,6.0,2017,7,10,28,2017 7 10,2017 7 16,4
2017-07-11,6.0,2017,7,11,28,-,-,4
2017-07-12,13.0,2017,7,12,28,-,-,4
2017-07-13,5.0,2017,7,13,28,-,-,4
2017-07-14,3.0,2017,7,14,28,-,-,4
2017-07-15,4.0,2017,7,15,28,-,-,4
2017-07-16,3.0,2017,7,16,28,-,-,4
2017-07-17,6.0,2017,7,17,29,2017 7 17,2017 7 23,1
2017-07-18,4.0,2017,7,18,29,-,-,1
2017-07-19,9.0,2017,7,19,29,-,-,1
2017-07-20,4.0,2017,7,20,29,-,-,1
2017-07-21,5.0,2017,7,21,29,-,-,1
2017-07-22,4.0,2017,7,22,29,-,-,1
2017-07-23,2.0,2017,7,23,29,-,-,1
2017-07-24,4.0,2017,7,24,30,2017 7 24,2017 7 30,2
2017-07-25,4.0,2017,7,25,30,-,-,2
2017-07-26,5.0,2017,7,26,30,-,-,2
2017-07-27,11.0,2017,7,27,30,-,-,2
2017-07-28,5.0,2017,7,28,30,-,-,2
2017-07-29,6.0,2017,7,29,30,-,-,2
2017-07-30,2.0,2017,7,30,30,-,-,2
2017-07-31,5.0,2017,7,31,31,2017 7 31,2017 8 6,3
2017-08-01,5.0,2017,8,1,31,-,-,3
2017-08-02,11.0,2017,8,2,31,-,-,3
2017-08-03,9.0,2017,8,3,31,-,-,3
2017-08-04,12.0,2017,8,4,31,-,-,3
2017-08-05,2.0,2017,8,5,31,-,-,3
2017-08-06,2.0,2017,8,6,31,-,-,3
2017-08-07,5.0,2017,8,7,32,2017 8 7,2017 8 13,4
2017-08-08,6.0,2017,8,8,32,-,-,4
2017-08-09,6.0,2017,8,9,32,-,-,4
2017-08-10,5.0,2017,8,10,32,-,-,4
2017-08-11,8.0,2017,8,11,32,-,-,4
2017-08-12,5.0,2017,8,12,32,-,-,4
2017-08-13,4.0,2017,8,13,32,-,-,4
2017-08-14,5.0,2017,8,14,33,2017 8 14,2017 8 20,1
2017-08-15,2.0,2017,8,15,33,-,-,1
2017-08-16,5.0,2017,8,16,33,-,-,1
2017-08-17,9.0,2017,8,17,33,-,-,1
2017-08-18,6.0,2017,8,18,33,-,-,1
2017-08-19,2.0,2017,8,19,33,-,-,1
2017-08-20,6.0,2017,8,20,33,-,-,1
2017-08-21,21.0,2017,8,21,34,2017 8 21,2017 8 27,2
2017-08-22,9.0,2017,8,22,34,-,-,2
2017-08-23,8.0,2017,8,23,34,-,-,2
2017-08-24,4.0,2017,8,24,34,-,-,2
2017-08-25,8.0,2017,8,25,34,-,-,2
2017-08-26,9.0,2017,8,26,34,-,-,2
2017-08-27,10.0,2017,8,27,34,-,-,2
2017-08-28,11.0,2017,8,28,35,2017 8 28,2017 9 3,3
2017-08-29,3.0,2017,8,29,35,-,-,3
2017-08-30,4.0,2017,8,30,35,-,-,3
2017-08-31,4.0,2017,8,31,35,-,-,3
2017-09-01,11.0,2017,9,1,35,-,-,3
2017-09-02,8.0,2017,9,2,35,-,-,3
2017-09-03,6.0,2017,9,3,35,-,-,3
2017-09-04,5.0,2017,9,4,36,2017 9 4,2017 9 10,4
2017-09-05,9.0,2017,9,5,36,-,-,4
2017-09-06,3.0,2017,9,6,36,-,-,4
2017-09-07,8.0,2017,9,7,36,-,-,4
2017-09-08,2.0,2017,9,8,36,-,-,4
2017-09-09,3.0,2017,9,9,36,-,-,4
2017-09-10,4.0,2017,9,10,36,-,-,4
2017-09-11,4.0,2017,9,11,37,2017 9 11,2017 9 17,1
2017-09-12,7.0,2017,9,12,37,-,-,1
2017-09-13,15.0,2017,9,13,37,-,-,1
2017-09-14,4.0,2017,9,14,37,-,-,1
2017-09-15,8.0,2017,9,15,37,-,-,1
2017-09-16,6.0,2017,9,16,37,-,-,1
2017-09-17,3.0,2017,9,17,37,-,-,1
2017-09-18,10.0,2017,9,18,38,2017 9 18,2017 9 24,2
2017-09-19,9.0,2017,9,19,38,-,-,2
2017-09-20,10.0,2017,9,20,38,-,-,2
2017-09-21,16.0,2017,9,21,38,-,-,2
2017-09-22,4.0,2017,9,22,38,-,-,2
2017-09-23,13.0,2017,9,23,38,-,-,2
2017-09-24,8.0,2017,9,24,38,-,-,2
2017-09-25,9.0,2017,9,25,39,2017 9 25,2017 10 1,3
2017-09-26,14.0,2017,9,26,39,-,-,3
2017-09-27,35.0,2017,9,27,39,-,-,3
2017-09-28,30.0,2017,9,28,39,-,-,3
2017-09-29,28.0,2017,9,29,39,-,-,3
2017-09-30,12.0,2017,9,30,39,-,-,3
2017-10-01,10.0,2017,10,1,39,-,-,3
2017-10-02,15.0,2017,10,2,40,2017 10 2,2017 10 8,4
2017-10-03,12.0,2017,10,3,40,-,-,4
2017-10-04,13.0,2017,10,4,40,-,-,4
2017-10-05,11.0,2017,10,5,40,-,-,4
2017-10-06,11.0,2017,10,6,40,-,-,4
2017-10-07,12.0,2017,10,7,40,-,-,4
2017-10-08,19.0,2017,10,8,40,-,-,4
2017-10-09,31.0,2017,10,9,41,2017 10 9,2017 10 15,1
2017-10-10,43.0,2017,10,10,41,-,-,1
2017-10-11,52.0,2017,10,11,41,-,-,1
2017-10-12,33.0,2017,10,12,41,-,-,1
2017-10-13,38.0,2017,10,13,41,-,-,1
2017-10-14,29.0,2017,10,14,41,-,-,1
2017-10-15,85.0,2017,10,15,41,-,-,1
2017-10-16,22.0,2017,10,16,42,2017 10 16,2017 10 22,2
2017-10-17,32.0,2017,10,17,42,-,-,2
2017-10-18,40.0,2017,10,18,42,-,-,2
2017-10-19,42.0,2017,10,19,42,-,-,2
2017-10-20,62.0,2017,10,20,42,-,-,2
2017-10-21,11.0,2017,10,21,42,-,-,2
2017-10-22,12.0,2017,10,22,42,-,-,2
2017-10-23,37.0,2017,10,23,43,2017 10 23,2017 10 29,3
2017-10-24,95.0,2017,10,24,43,-,-,3
2017-10-25,77.0,2017,10,25,43,-,-,3
2017-10-26,79.0,2017,10,26,43,-,-,3
2017-10-27,55.0,2017,10,27,43,-,-,3
2017-10-28,8.0,2017,10,28,43,-,-,3
2017-10-29,8.0,2017,10,29,43,-,-,3
2017-10-30,10.0,2017,10,30,44,2017 10 30,2017 11 5,4
2017-10-31,55.0,2017,10,31,44,-,-,4
