date,TOL,year,month,day,week,startDate,endDate,weekOrder
2017-01-01,8.43,2017,1,1,0,-,-,0
2017-01-02,15.44,2017,1,2,1,2017 1 2,2017 1 8,1
2017-01-03,10.59,2017,1,3,1,-,-,1
2017-01-04,21.47,2017,1,4,1,-,-,1
2017-01-05,15.59,2017,1,5,1,-,-,1
2017-01-06,6.01,2017,1,6,1,-,-,1
2017-01-07,7.66,2017,1,7,1,-,-,1
2017-01-08,9.4,2017,1,8,1,-,-,1
2017-01-09,19.67,2017,1,9,2,2017 1 9,2017 1 15,2
2017-01-10,5.25,2017,1,10,2,-,-,2
2017-01-11,4.37,2017,1,11,2,-,-,2
2017-01-12,1.83,2017,1,12,2,-,-,2
2017-01-13,1.54,2017,1,13,2,-,-,2
2017-01-14,1.23,2017,1,14,2,-,-,2
2017-01-15,1.77,2017,1,15,2,-,-,2
2017-01-16,1.61,2017,1,16,3,2017 1 16,2017 1 22,3
2017-01-17,1.36,2017,1,17,3,-,-,3
2017-01-18,3.03,2017,1,18,3,-,-,3
2017-01-19,3.17,2017,1,19,3,-,-,3
2017-01-20,4.77,2017,1,20,3,-,-,3
2017-01-21,4.71,2017,1,21,3,-,-,3
2017-01-22,2.45,2017,1,22,3,-,-,3
2017-01-23,4.63,2017,1,23,4,2017 1 23,2017 1 29,4
2017-01-24,6.36,2017,1,24,4,-,-,4
2017-01-25,7.46,2017,1,25,4,-,-,4
2017-01-26,5.99,2017,1,26,4,-,-,4
2017-01-27,5.73,2017,1,27,4,-,-,4
2017-01-28,4.08,2017,1,28,4,-,-,4
2017-01-29,6.78,2017,1,29,4,-,-,4
2017-01-30,8.16,2017,1,30,5,2017 1 30,2017 2 5,1
2017-01-31,3.34,2017,1,31,5,-,-,1
2017-02-01,7.05,2017,2,1,5,-,-,1
2017-02-02,1.55,2017,2,2,5,-,-,1
2017-02-03,2.8,2017,2,3,5,-,-,1
2017-02-04,2.14,2017,2,4,5,-,-,1
2017-02-05,1.14,2017,2,5,5,-,-,1
2017-02-06,7.54,2017,2,6,6,2017 2 6,2017 2 12,2
2017-02-07,2.68,2017,2,7,6,-,-,2
2017-02-08,2.6,2017,2,8,6,-,-,2
2017-02-09,6.02,2017,2,9,6,-,-,2
2017-02-10,6.08,2017,2,10,6,-,-,2
2017-02-11,2.44,2017,2,11,6,-,-,2
2017-02-12,3.96,2017,2,12,6,-,-,2
2017-02-13,6.57,2017,2,13,7,2017 2 13,2017 2 19,3
2017-02-14,13.78,2017,2,14,7,-,-,3
2017-02-15,12.2,2017,2,15,7,-,-,3
2017-02-16,6.36,2017,2,16,7,-,-,3
2017-02-17,5.74,2017,2,17,7,-,-,3
2017-02-18,4.82,2017,2,18,7,-,-,3
2017-02-19,2.77,2017,2,19,7,-,-,3
2017-02-20,4.3,2017,2,20,8,2017 2 20,2017 2 26,4
2017-02-21,2.64,2017,2,21,8,-,-,4
2017-02-22,2.37,2017,2,22,8,-,-,4
2017-02-23,3.04,2017,2,23,8,-,-,4
2017-02-24,1.65,2017,2,24,8,-,-,4
2017-02-25,2.18,2017,2,25,8,-,-,4
2017-02-26,1.1,2017,2,26,8,-,-,4
2017-02-27,2.15,2017,2,27,9,2017 2 27,2017 3 5,1
2017-02-28,1.85,2017,2,28,9,-,-,1
2017-03-01,2.89,2017,3,1,9,-,-,1
2017-03-02,3.05,2017,3,2,9,-,-,1
2017-03-03,3.99,2017,3,3,9,-,-,1
2017-03-04,0.91,2017,3,4,9,-,-,1
2017-03-05,2.37,2017,3,5,9,-,-,1
2017-03-06,0.87,2017,3,6,10,2017 3 6,2017 3 12,2
2017-03-07,2.81,2017,3,7,10,-,-,2
2017-03-08,3.29,2017,3,8,10,-,-,2
2017-03-09,4.81,2017,3,9,10,-,-,2
2017-03-10,6.75,2017,3,10,10,-,-,2
2017-03-11,3.56,2017,3,11,10,-,-,2
2017-03-12,0.58,2017,3,12,10,-,-,2
2017-03-13,1.18,2017,3,13,11,2017 3 13,2017 3 19,3
2017-03-14,1.15,2017,3,14,11,-,-,3
2017-03-15,2.33,2017,3,15,11,-,-,3
2017-03-16,2.67,2017,3,16,11,-,-,3
2017-03-17,1.13,2017,3,17,11,-,-,3
2017-03-18,0.74,2017,3,18,11,-,-,3
2017-03-19,0.77,2017,3,19,11,-,-,3
2017-03-20,2.18,2017,3,20,12,2017 3 20,2017 3 26,4
2017-03-21,1.71,2017,3,21,12,-,-,4
2017-03-22,1.21,2017,3,22,12,-,-,4
2017-03-23,1.08,2017,3,23,12,-,-,4
2017-03-24,1.49,2017,3,24,12,-,-,4
2017-03-25,2.36,2017,3,25,12,-,-,4
2017-03-26,1.8,2017,3,26,12,-,-,4
2017-03-27,1.91,2017,3,27,13,2017 3 27,2017 4 2,1
2017-03-28,5.16,2017,3,28,13,-,-,1
2017-03-29,5.7,2017,3,29,13,-,-,1
2017-03-30,6.3,2017,3,30,13,-,-,1
2017-03-31,2.88,2017,3,31,13,-,-,1
2017-04-01,0.45,2017,4,1,13,-,-,1
2017-04-02,0.19,2017,4,2,13,-,-,1
2017-04-03,2.45,2017,4,3,14,2017 4 3,2017 4 9,2
2017-04-04,1.61,2017,4,4,14,-,-,2
2017-04-05,0.47,2017,4,5,14,-,-,2
2017-04-06,1.3,2017,4,6,14,-,-,2
2017-04-07,1.81,2017,4,7,14,-,-,2
2017-04-08,2.44,2017,4,8,14,-,-,2
2017-04-09,1.4,2017,4,9,14,-,-,2
2017-04-10,1.03,2017,4,10,15,2017 4 10,2017 4 16,3
2017-04-11,0.72,2017,4,11,15,-,-,3
2017-04-12,0.77,2017,4,12,15,-,-,3
2017-04-13,0.57,2017,4,13,15,-,-,3
2017-04-14,0.51,2017,4,14,15,-,-,3
2017-04-15,0.3,2017,4,15,15,-,-,3
2017-04-16,1.02,2017,4,16,15,-,-,3
2017-04-17,0.4,2017,4,17,16,2017 4 17,2017 4 23,4
2017-04-18,0.29,2017,4,18,16,-,-,4
2017-04-19,0.51,2017,4,19,16,-,-,4
2017-04-20,0.67,2017,4,20,16,-,-,4
2017-04-21,2.22,2017,4,21,16,-,-,4
2017-04-22,2.36,2017,4,22,16,-,-,4
2017-04-23,0.76,2017,4,23,16,-,-,4
2017-04-24,2.48,2017,4,24,17,2017 4 24,2017 4 30,1
2017-04-25,0.63,2017,4,25,17,-,-,1
2017-04-26,0.38,2017,4,26,17,-,-,1
2017-04-27,0.5,2017,4,27,17,-,-,1
2017-04-28,0.81,2017,4,28,17,-,-,1
2017-04-29,0.86,2017,4,29,17,-,-,1
2017-04-30,0.6,2017,4,30,17,-,-,1
2017-05-01,1.3,2017,5,1,18,2017 5 1,2017 5 7,2
2017-05-02,1.3,2017,5,2,18,-,-,2
2017-05-03,0.78,2017,5,3,18,-,-,2
2017-05-04,1.68,2017,5,4,18,-,-,2
2017-05-05,2.57,2017,5,5,18,-,-,2
2017-05-06,1.19,2017,5,6,18,-,-,2
2017-05-07,0.65,2017,5,7,18,-,-,2
2017-05-08,1.34,2017,5,8,19,2017 5 8,2017 5 14,3
2017-05-09,1.32,2017,5,9,19,-,-,3
